AL012016     2016     01L     90L
AL022016     2016     02L     91L
AL022016     2016     02L     92L
AL032016     2016     03L     93L
AL042016     2016     04L     94L
AL052016     2016     05L     97L
AL062016     2016     06L     98L
AL072016     2016     07L     90L
AL082016     2016     08L     91L
AL092016     2016     09L     99L
AL102016     2016     10L     94L
AL112016     2016     11L     93L
AL122016     2016     12L     95L
AL132016     2016     13L     96L
AL142016     2016     14L     97L
AL152016     2016     15L     98L
AL162016     2016     16L     90L
CP012016     2016     01C     90C
EP012016     2016     01E     92E
EP022016     2016     02E     95E
EP032016     2016     03E     94E
EP042016     2016     04E     96E
EP052016     2016     05E     97E
EP062016     2016     06E     98E
EP072016     2016     07E     99E
EP082016     2016     08E     90E
EP092016     2016     09E     91E
EP102016     2016     10E     92E
EP112016     2016     11E     93E
EP122016     2016     12E     97E
EP132016     2016     13E     99E
EP142016     2016     14E     98E
EP152016     2016     15E     90E
EP162016     2016     16E     92E
EP182016     2016     18E     94E
EP192016     2016     19E     96E
EP202016     2016     20E     91E
EP212016     2016     21E     92E
WP022016     2016     02W     99W
WP032016     2016     03W     91W
WP042016     2016     04W     94W
WP062016     2016     06W     96W
WP072016     2016     07W     98W
WP082016     2016     08W     90W
WP092016     2016     09W     93W
WP112016     2016     11W     95W
WP132016     2016     13W     98W
WP152016     2016     15W     94W
WP162016     2016     16W     98W
WP182016     2016     18W     90W
WP192016     2016     19W     91W
WP202016     2016     20W     96W
WP242016     2016     24W     93W
WP252016     2016     25W     94W
WP262016     2016     26W     90W
WP272016     2016     27W     95W
WP282016     2016     28W     96W
WP302016     2016     30W     92W
AL012017     2017     01L     91L
AL022017     2017     02L     92L
AL032017     2017     03L     93L
AL042017     2017     04L     94L
AL052017     2017     05L     95L
AL062017     2017     06L     98L
AL072017     2017     07L     90L
AL082017     2017     08L     99L
AL092017     2017     09L     91L
AL102017     2017     10L     92L
AL112017     2017     11L     93L
AL122017     2017     12L     94L
AL132017     2017     13L     95L
AL142017     2017     14L     97L
AL142017     2017     14L     98L
AL162017     2017     16L     90L
AL172017     2017     17L     91L
AL182017     2017     18L     93L
AL192017     2017     19L     95L
EP012017     2017     01E     90E
EP022017     2017     02E     91E
EP032017     2017     03E     92E
EP042017     2017     04E     93E
EP052017     2017     05E     95E
EP062017     2017     06E     96E
EP072017     2017     07E     97E
EP082017     2017     08E     98E
EP092017     2017     09E     90E
EP102017     2017     10E     99E
EP112017     2017     11E     91E
EP122017     2017     12E     92E
EP132017     2017     13E     93E
EP142017     2017     14E     94E
EP152017     2017     15E     95E
EP162017     2017     16E     96E
EP172017     2017     17E     97E
EP182017     2017     18E     98E
EP192017     2017     19E     90E
EP202017     2017     20E     92E
WP012017     2017     01W     96W
WP032017     2017     03W     93W
WP042017     2017     04W     96W
WP052017     2017     05W     99W
WP072017     2017     07W     95W
WP092017     2017     09W     97W
WP102017     2017     10W     98W
WP122017     2017     12W     92W
WP132017     2017     13W     97W
WP142017     2017     14W     90W
WP162017     2017     16W     96W
WP172017     2017     17W     99W
WP182017     2017     18W     91W
WP192017     2017     19W     92W
WP202017     2017     20W     94W
WP212017     2017     21W     97W
WP232017     2017     23W     97W
WP252017     2017     25W     91W
WP262017     2017     26W     94W
WP272017     2017     27W     93W
WP282017     2017     28W     96W
WP312017     2017     31W     90W
WP322017     2017     32W     96W
WP332017     2017     33W     97W
AL012018     2018     01L     90L
AL022018     2018     02L     95L
AL032018     2018     03L     96L
AL042018     2018     04L     97L
AL052018     2018     05L     98L
AL062018     2018     06L     90L
AL072018     2018     07L     91L
AL082018     2018     08L     93L
AL092018     2018     09L     92L
AL102018     2018     10L     96L
AL112018     2018     11L     97L
AL122018     2018     12L     99L
AL132018     2018     13L     90L
AL142018     2018     14L     91L
AL152018     2018     15L     93L
AL162018     2018     16L     95L
CP012018     2018     01C     97C
EP012018     2018     01E     90E
EP022018     2018     02E     91E
EP032018     2018     03E     92E
EP042018     2018     04E     93E
EP052018     2018     05E     95E
EP062018     2018     06E     96E
EP072018     2018     07E     97E
EP082018     2018     08E     91E
EP092018     2018     09E     92E
EP102018     2018     10E     93E
EP112018     2018     11E     96E
EP122018     2018     12E     95E
EP132018     2018     13E     94E
EP142018     2018     14E     97E
EP152018     2018     15E     99E
EP162018     2018     16E     90E
EP172018     2018     17E     91E
EP182018     2018     18E     92E
EP202018     2018     20E     95E
EP212018     2018     21E     96E
EP222018     2018     22E     98E
EP232018     2018     23E     90E
EP242018     2018     24E     99E
EP252018     2018     25E     94E
WP022018     2018     02W     93W
WP032018     2018     03W     96W
WP042018     2018     04W     97W
WP052018     2018     05W     99W
WP062018     2018     06W     90W
WP072018     2018     07W     93W
WP082018     2018     08W     95W
WP092018     2018     09W     90W
WP102018     2018     10W     91W
WP112018     2018     11W     92W
WP122018     2018     12W     94W
WP132018     2018     13W     98W
WP142018     2018     14W     97W
WP152018     2018     15W     96W
WP162018     2018     16W     90W
WP172018     2018     17W     94W
WP182018     2018     18W     93W
WP192018     2018     19W     97W
WP202018     2018     20W     96W
WP222018     2018     22W     99W
WP232018     2018     23W     91W
WP242018     2018     24W     92W
WP252018     2018     25W     94W
WP262018     2018     26W     99W
WP282018     2018     28W     92W
WP302018     2018     30W     94W
WP312018     2018     31W     97W
WP342018     2018     34W     92W
WP352018     2018     35W     96W
WP362018     2018     36W     97W
AL012019     2019     01L     90L
